customerID,tenure,MonthlyCharges,ChurnRisk,ChurnProbability
7590-VHVEG,1,29.85,1,0.9252046
5575-GNVDE,34,56.95,1,0.85594076
3668-QPYBK,2,53.85,1,0.91192514
7795-CFOCW,45,42.3,1,0.9013264
9237-HQITU,2,70.7,1,0.88443696
9305-CDSKC,8,99.65,1,0.8688998
1452-KIOVK,22,89.1,1,0.9441473
6713-OKOMC,10,29.75,1,0.9647356
7892-POOKP,28,104.8,1,0.9229363
6388-TABGU,62,56.15,1,0.92155206
9763-GRSKD,13,49.95,1,0.91445166
7469-LKBCI,16,18.95,0,0.22415116
8091-TTVAX,58,100.35,1,0.95826316
0280-XJGEX,49,103.7,1,0.9703995
5129-JLPIS,25,105.5,1,0.91447985
3655-SNQYZ,69,113.25,0,0.15704142
8191-XWSZG,52,20.65,1,0.92471707
9959-WOFKT,71,106.7,0,0.16628994
4190-MFLUW,10,55.2,1,0.9912486
4183-MYFRB,21,90.05,1,0.8811393
8779-QRDMV,1,39.65,1,0.92738056
1680-VDCWW,12,19.8,1,0.958358
1066-JKSGK,1,20.15,1,0.97885895
3638-WEABW,58,59.9,0,0.23993742
6322-HRPFA,49,59.6,1,0.99274737
6865-JZNKO,30,55.3,1,0.9889952
6467-CHFZW,47,99.35,1,0.8488372
8665-UTDHZ,1,30.2,1,0.9742286
5248-YGIJN,72,90.25,0,0.09888332
8773-HHUOZ,17,64.7,1,0.9205684
3841-NFECX,71,96.35,0,0.08111727
4929-XIHVW,2,95.5,1,0.95604247
6827-IEAUQ,27,66.15,1,0.8389447
7310-EGVHZ,1,20.2,1,0.993782
3413-BMNZE,1,45.25,1,0.9953004
6234-RAAPL,72,99.9,0,0.15138254
6047-YHPVI,5,69.7,1,0.88443696
6572-ADKRS,46,74.8,1,0.9604926
5380-WJKOV,34,106.35,1,0.8488372
8168-UQWWF,11,97.85,1,0.97480696
8865-TNMNX,10,49.55,1,0.90875065
9489-DEDVP,70,69.2,0,0.12133774
9867-JCZSP,17,20.75,1,0.92471707
4671-VJLCL,63,79.85,0,0.10427691
4080-IIARD,13,76.2,1,0.9384817
3714-NTNFO,49,84.5,1,0.85996425
5948-UJZLF,2,49.25,1,0.9705358
7760-OYPDY,2,80.65,1,0.8920071
