customerID,MonthlyCharges,tenure,CLV,CustomerSegment
7590-VHVEG,29.85,1,29.85,Low Value
5575-GNVDE,56.95,34,1936.3000000000002,Medium Value
3668-QPYBK,53.85,2,107.7,Low Value
7795-CFOCW,42.3,45,1903.4999999999998,Medium Value
9237-HQITU,70.7,2,141.4,Low Value
9305-CDSKC,99.65,8,797.2,Medium Value
1452-KIOVK,89.1,22,1960.1999999999998,Medium Value
6713-OKOMC,29.75,10,297.5,Low Value
7892-POOKP,104.8,28,2934.4,High Value
6388-TABGU,56.15,62,3481.2999999999997,High Value
9763-GRSKD,49.95,13,649.35,Low Value
7469-LKBCI,18.95,16,303.2,Low Value
8091-TTVAX,100.35,58,5820.299999999999,High Value
0280-XJGEX,103.7,49,5081.3,High Value
5129-JLPIS,105.5,25,2637.5,Medium Value
3655-SNQYZ,113.25,69,7814.25,High Value
8191-XWSZG,20.65,52,1073.8,Medium Value
9959-WOFKT,106.7,71,7575.7,High Value
4190-MFLUW,55.2,10,552.0,Low Value
4183-MYFRB,90.05,21,1891.05,Medium Value
8779-QRDMV,39.65,1,39.65,Low Value
1680-VDCWW,19.8,12,237.60000000000002,Low Value
1066-JKSGK,20.15,1,20.15,Low Value
3638-WEABW,59.9,58,3474.2,High Value
6322-HRPFA,59.6,49,2920.4,High Value
6865-JZNKO,55.3,30,1659.0,Medium Value
6467-CHFZW,99.35,47,4669.45,High Value
8665-UTDHZ,30.2,1,30.2,Low Value
5248-YGIJN,90.25,72,6498.0,High Value
8773-HHUOZ,64.7,17,1099.9,Medium Value
3841-NFECX,96.35,71,6840.849999999999,High Value
4929-XIHVW,95.5,2,191.0,Low Value
6827-IEAUQ,66.15,27,1786.0500000000002,Medium Value
7310-EGVHZ,20.2,1,20.2,Low Value
3413-BMNZE,45.25,1,45.25,Low Value
6234-RAAPL,99.9,72,7192.8,High Value
6047-YHPVI,69.7,5,348.5,Low Value
6572-ADKRS,74.8,46,3440.7999999999997,High Value
5380-WJKOV,106.35,34,3615.8999999999996,High Value
8168-UQWWF,97.85,11,1076.35,Medium Value
8865-TNMNX,49.55,10,495.5,Low Value
9489-DEDVP,69.2,70,4844.0,High Value
9867-JCZSP,20.75,17,352.75,Low Value
4671-VJLCL,79.85,63,5030.549999999999,High Value
4080-IIARD,76.2,13,990.6,Medium Value
3714-NTNFO,84.5,49,4140.5,High Value
5948-UJZLF,49.25,2,98.5,Low Value
7760-OYPDY,80.65,2,161.3,Low Value
7639-LIAYI,79.75,52,4147.0,High Value
2954-PIBKO,64.15,69,4426.35,High Value
8012-SOUDQ,90.25,43,3880.75,High Value
9420-LOJKX,99.1,15,1486.5,Medium Value
6575-SUVOI,69.5,25,1737.5,Medium Value
7495-OOKFY,80.65,8,645.2,Low Value
4667-QONEA,74.85,60,4491.0,High Value
1658-BYGOY,95.45,18,1718.1000000000001,Medium Value
8769-KKTPH,99.65,63,6277.950000000001,High Value
5067-XJQFU,108.45,66,7157.7,High Value
3957-SQXML,24.95,34,848.3,Medium Value
5954-BDFSG,107.5,72,7740.0,High Value
0434-CSFON,100.5,47,4723.5,High Value
1215-FIGMP,89.9,60,5394.0,High Value
0526-SXDJP,42.1,72,3031.2000000000003,High Value
0557-ASKVU,54.4,18,979.1999999999999,Medium Value
5698-BQJOH,94.4,9,849.6,Medium Value
5122-CYFXA,75.3,3,225.89999999999998,Low Value
8627-ZYGSZ,78.9,47,3708.3,High Value
3410-YOQBQ,79.2,31,2455.2000000000003,Medium Value
3170-NMYVV,20.15,50,1007.4999999999999,Medium Value
7410-OIEDU,79.85,10,798.5,Medium Value
2273-QCKXA,49.05,1,49.05,Low Value
0731-EBJQB,20.4,52,1060.8,Medium Value
1891-QRQSA,111.6,64,7142.4,High Value
8028-PNXHQ,24.25,62,1503.5,Medium Value
5630-AHZIL,64.5,3,193.5,Low Value
2673-CXQEU,110.5,56,6188.0,High Value
6416-JNVRK,55.65,46,2559.9,Medium Value
5590-ZSKRV,54.65,8,437.2,Low Value
0191-ZHSKZ,74.75,30,2242.5,Medium Value
3887-PBQAO,25.9,45,1165.5,Medium Value
5919-TMRGD,79.35,1,79.35,Low Value
8108-UXRQN,50.55,11,556.05,Low Value
9191-MYQKX,75.15,7,526.0500000000001,Low Value
9919-YLNNG,103.8,42,4359.599999999999,High Value
0318-ZOPWS,20.15,49,987.3499999999999,Medium Value
4445-ZJNMU,99.3,9,893.6999999999999,Medium Value
4808-YNLEU,62.15,35,2175.25,Medium Value
1862-QRWPE,20.65,48,991.1999999999999,Medium Value
2796-NNUFI,19.95,46,917.6999999999999,Medium Value
3016-KSVCP,33.75,29,978.75,Medium Value
4767-HZZHQ,82.05,30,2461.5,Medium Value
2424-WVHPL,74.7,1,74.7,Low Value
7233-PAHHL,84.0,66,5544.0,High Value
6067-NGCEU,111.05,65,7218.25,High Value
9848-JQJTX,100.9,72,7264.8,High Value
8637-XJIVR,78.95,12,947.4000000000001,Medium Value
9803-FTJCG,66.85,71,4746.349999999999,High Value
0278-YXOOG,21.05,5,105.25,Low Value
3212-KXOCR,21.0,52,1092.0,Medium Value
4598-XLKNJ,98.5,25,2462.5,Medium Value
6380-ARCEH,20.2,1,20.2,Low Value
3679-XASPY,19.45,1,19.45,Low Value
7123-WQUHX,95.0,38,3610.0,High Value
5386-THSLQ,45.55,66,3006.2999999999997,High Value
3192-NQECA,110.0,68,7480.0,High Value
6180-YBIQI,24.3,5,121.5,Low Value
6728-DKUCO,104.15,72,7498.8,High Value
9750-BOOHV,30.15,32,964.8,Medium Value
8597-CWYHH,94.35,43,4057.0499999999997,High Value
2848-YXSMW,19.4,72,1396.8,Medium Value
0486-HECZI,96.75,55,5321.25,High Value
4549-ZDQYY,57.95,52,3013.4,High Value
5712-AHQNN,91.65,43,3940.9500000000003,High Value
4846-WHAFZ,76.5,37,2830.5,High Value
5256-SKJGO,54.6,64,3494.4,High Value
3071-VBYPO,89.85,3,269.54999999999995,Low Value
9560-BBZXK,31.05,36,1117.8,Medium Value
5299-RULOA,100.25,10,1002.5,Medium Value
8402-OOOHJ,20.65,41,846.65,Medium Value
9445-ZUEQE,85.2,27,2300.4,Medium Value
1091-SOZGA,99.8,56,5588.8,High Value
2928-HLDBA,20.7,6,124.19999999999999,Low Value
0404-SWRVG,74.4,3,223.20000000000002,Low Value
6497-TILVL,50.7,7,354.90000000000003,Low Value
7219-TLZHO,20.85,4,83.4,Low Value
4622-YNKIJ,88.95,33,2935.35,High Value
4412-YLTKF,78.05,27,2107.35,Medium Value
6734-PSBAW,23.55,72,1695.6000000000001,Medium Value
3930-ZGWVE,19.75,1,19.75,Low Value
2639-UGMAZ,56.45,71,4007.9500000000003,High Value
2876-GZYZC,85.95,13,1117.3500000000001,Medium Value
6207-WIOLX,58.6,25,1465.0,Medium Value
8587-XYZSF,50.55,67,3386.85,High Value
3091-FYHKI,35.45,1,35.45,Low Value
2372-HWUHI,44.35,2,88.7,Low Value
7799-LGRDP,25.7,43,1105.1,Medium Value
7850-VWJUU,75.0,23,1725.0,Medium Value
3774-VBNXY,20.2,64,1292.8,Medium Value
6217-KDYWC,19.6,57,1117.2,Medium Value
0390-DCFDQ,70.45,1,70.45,Low Value
3146-MSEGF,88.05,72,6339.599999999999,High Value
4080-OGPJL,71.15,8,569.2,Low Value
1095-WGNGG,101.05,61,6164.05,High Value
2636-SJDOU,84.3,64,5395.2,High Value
1131-QQZEB,23.95,71,1700.45,Medium Value
5716-EZXZN,99.05,65,6438.25,High Value
6837-BJYDQ,19.6,3,58.800000000000004,Low Value
2135-RXIHG,45.65,1,45.65,Low Value
6440-DKQGE,64.5,30,1935.0,Medium Value
3466-BYAVD,69.5,15,1042.5,Medium Value
3780-YVMFA,68.55,8,548.4,Low Value
3874-EQOEP,95.0,7,665.0,Low Value
1679-JRFBR,108.15,70,7570.5,High Value
9073-ZZIAY,86.1,62,5338.2,High Value
3077-RSNTJ,19.7,6,118.19999999999999,Low Value
6551-GNYDG,80.9,14,1132.6000000000001,Medium Value
9167-APMXZ,84.15,22,1851.3000000000002,Medium Value
2749-CTKAJ,20.15,22,443.29999999999995,Low Value
6371-NZYEG,64.25,16,1028.0,Medium Value
7554-NEWDD,25.7,10,257.0,Low Value
8992-VONJD,56.0,13,728.0,Medium Value
0867-MKZVY,82.4,20,1648.0,Medium Value
4482-EWFMI,69.7,2,139.4,Low Value
4648-YPBTM,73.9,53,3916.7000000000003,High Value
2907-ILJBN,20.6,11,226.60000000000002,Low Value
6345-FZOQH,19.9,69,1373.1,Medium Value
3376-BMGFE,70.9,4,283.6,Low Value
5997-OPVFA,89.05,72,6411.599999999999,High Value
3445-HXXGF,45.3,58,2627.3999999999996,Medium Value
1159-WFSGR,20.4,16,326.4,Low Value
7654-YWJUF,84.25,43,3622.75,High Value
